complaint_type,primary_agency,total_requests,closed_requests,open_requests,avg_closure_days,median_closure_days,sla_miss_rate,aged_open_30d_plus
Industrial Waste,DEP,431,362,69,1.0,0.0,0.1456,47
Lead,DEP,3172,2842,330,1.7,1.0,0.0665,146
For Hire Vehicle Report,TLC,670,0,670,,,1.0,600
Plant,DEP,124,97,27,0.1,0.0,0.2114,26
APPLIANCE,HPD,6332,4722,1610,16.2,10.0,0.5195,851
Highway Condition,DOT,1306,1173,133,7.3,3.0,0.1893,60
Mold,DOHMH,97,95,2,1.9,2.0,0.0206,2
Day Care,DOHMH,438,436,2,1.3,1.0,0.0091,1
Bridge Condition,DOT,100,57,43,6.8,3.0,0.4639,36
Taxi Compliment,TLC,34,1,33,2.0,2.0,0.9677,23
Bench,DOT,43,39,4,5.8,3.0,0.186,3
Commercial Disposal Complaint,DSNY,439,436,3,1.0,0.0,0.0069,0
DEP Street Condition,DOT,7,7,0,1.0,1.0,0.0,0
Building Condition,DOT,2,2,0,6.0,6.0,0.0,0
Highway Sign - Missing,DOT,8,7,1,7.6,5.0,0.1429,0
Sewer,DEP,10914,8488,2426,1.9,1.0,0.2593,1970
Maintenance or Facility,DPR,13652,5382,8270,10.3,6.0,0.6524,5913
Illegal Tree Damage,DPR,2596,1110,1486,12.0,7.0,0.6667,985
Green Taxi Report,TLC,73,0,73,,,1.0,70
Noise - Vehicle,NYPD,16219,16219,0,0.2,0.0,0.0008,0
Blocked Driveway,NYPD,47437,47437,0,0.2,0.0,0.0024,0
Abandoned Vehicle,NYPD,20602,20602,0,0.1,0.0,0.0,0
Missed Collection,DSNY,9619,9593,26,2.2,2.0,0.1651,0
Bus Stop Shelter Placement,DOT,68,68,0,2.8,1.0,0.0147,0
E-Scooter,DOT,165,165,0,1.9,1.0,0.0,0
Building Marshals office,DOB,1,1,0,10.0,10.0,0.0,0
Street Condition,DOT,44970,34692,10278,4.0,1.0,0.2181,9077
Noise - Residential,NYPD,102370,102368,2,0.2,0.0,0.0019,1
Noise - Street/Sidewalk,NYPD,56503,56500,3,0.2,0.0,0.0013,3
Taxi Licensee Complaint,TLC,6,0,6,,,1.0,6
Curb Condition,DOT,2482,2102,380,18.2,15.0,0.5627,84
Broken Parking Meter,DOT,722,592,130,3.3,2.0,0.1263,0
Disorderly Youth,NYPD,63,63,0,0.2,0.0,0.0,0
Municipal Parking Facility,DOT,8,8,0,5.0,4.0,0.0,0
AHV Inspection Unit,DOB,22,22,0,10.0,4.0,0.1818,0
HEAT/HOT WATER,HPD,44647,31874,12773,1.3,1.0,0.285,12603
Water System,DEP,23189,20028,3161,3.0,0.0,0.2242,2407
UNSANITARY CONDITION,HPD,34231,28313,5918,11.9,8.0,0.1617,2884
Root/Sewer/Sidewalk Condition,DPR,7382,66,7316,19.1,13.0,0.9946,6478
Construction Lead Dust,DOHMH,2024,0,2024,,,1.0,1929
Consumer Complaint,DCWP,5751,4448,1303,16.3,4.0,0.4325,259
Illegal Parking,NYPD,164504,164504,0,0.1,0.0,0.0018,0
Dumpster Complaint,DSNY,549,540,9,2.4,2.0,0.0037,2
Violation of Park Rules,DPR,1979,1963,16,0.1,0.0,0.0091,13
FHV Licensee Complaint,TLC,3,0,3,,,1.0,2
Tanning,DOHMH,3,0,3,,,1.0,3
Safety,HPD,1,0,1,,,1.0,1
Food Establishment,DOHMH,3958,1500,2458,53.2,60.0,0.9742,1325
Drinking,NYPD,1351,1351,0,0.2,0.0,0.0,0
Ferry Inquiry,DOT,104,104,0,3.6,3.0,0.0,0
Noise - House of Worship,NYPD,812,812,0,0.1,0.0,0.0,0
Cooling Tower,DOHMH,16,12,4,22.8,17.5,0.75,4
Leaning Bar,DOT,3,2,1,14.0,14.0,0.6667,0
Oil or Gas Spill,DSNY,3,3,0,1.0,1.0,0.0,0
