complaint_type,borough,agency,total_requests,open_requests,sla_miss_rate,aged_share_of_open,priority_score,priority_rank
Illegal Parking,Bronx,NYPD,24931,0,0.0003,0.0,0.2968,234
Street Sign - Damaged,Manhattan,DOT,257,46,0.2008,0.5,0.2965,235
Blocked Driveway,Queens,NYPD,20287,0,0.0045,0.0,0.2954,236
Illegal Parking,Manhattan,NYPD,20093,0,0.0,0.0,0.2935,237
Hazardous Materials,Brooklyn,DEP,234,53,0.2,0.5283,0.2934,238
Noise - Street/Sidewalk,Bronx,NYPD,17426,0,0.0005,0.0,0.2928,239
Noise - Residential,Manhattan,NYPD,17264,0,0.0002,0.0,0.2919,240
Blocked Driveway,Brooklyn,NYPD,16996,0,0.0011,0.0,0.2913,241
Air Quality,Manhattan,DEP,913,21,0.0412,0.1429,0.2911,242
Lead,Bronx,DEP,355,22,0.0461,0.5909,0.291,243
Noise - Street/Sidewalk,Manhattan,NYPD,15987,0,0.0001,0.0,0.2894,244
Outdoor Dining,Brooklyn,DOT,263,61,0.3184,0.2623,0.2842,245
Abandoned Vehicle,Queens,NYPD,8846,0,0.0,0.0,0.2821,246
Noise - Street/Sidewalk,Queens,NYPD,7831,0,0.0026,0.0,0.2811,247
Blocked Driveway,Bronx,NYPD,7497,0,0.0,0.0,0.2796,248
General Construction/Plumbing,Queens,DOB,3566,0,0.1436,0.0,0.2788,249
Residential Disposal Complaint,Bronx,DSNY,393,3,0.0051,0.6667,0.2769,250
Abandoned Vehicle,Brooklyn,NYPD,6725,0,0.0,0.0,0.2764,251
Missed Collection,Manhattan,DSNY,925,6,0.1784,0.0,0.276,252
Street Sweeping Complaint,Bronx,DSNY,386,3,0.0052,0.6667,0.2728,253
Noise - Vehicle,Queens,NYPD,6254,0,0.0014,0.0,0.271,254
Noise - Commercial,Brooklyn,NYPD,6107,0,0.0003,0.0,0.2691,255
Dead Animal,Manhattan,DSNY,243,5,0.0165,0.8,0.269,256
Maintenance or Facility,Staten Island,DPR,303,21,0.0717,0.5238,0.2681,257
Noise - Commercial,Manhattan,NYPD,5836,0,0.0,0.0,0.2666,258
Residential Disposal Complaint,Queens,DSNY,823,4,0.0024,0.25,0.2665,259
Sanitation Worker or Vehicle Complaint,Queens,DSNY,248,11,0.049,0.6364,0.2645,260
Illegal Parking,Staten Island,NYPD,4614,0,0.0022,0.0,0.2565,261
Vendor Enforcement,Manhattan,DSNY,4132,0,0.0,0.0,0.2519,262
Unsanitary Pigeon Condition,Manhattan,DOHMH,235,9,0.1948,0.4444,0.2497,263
PLUMBING,Staten Island,HPD,350,42,0.0528,0.3333,0.2477,264
Sidewalk Condition,Staten Island,DOT,449,75,0.0053,0.1867,0.2459,265
Elevator,Manhattan,DOB,1527,0,0.2475,0.0,0.2453,266
Abandoned Bike,Brooklyn,DSNY,445,15,0.0435,0.2667,0.2433,267
Noise - Residential,Staten Island,NYPD,3487,0,0.0037,0.0,0.2414,268
Noise - Vehicle,Brooklyn,NYPD,3499,0,0.0,0.0,0.2413,269
Elevator,Bronx,DOB,2433,0,0.1097,0.0,0.2394,270
Noise - Commercial,Queens,NYPD,3428,0,0.002,0.0,0.2394,271
Street Sign - Dangling,Brooklyn,DOT,238,17,0.0855,0.4706,0.2386,272
